,action,time,wealth,Position
1,buy,2021-12-03 09:40:05,-17703.08,1
2,sell,2021-12-03 10:14:50,35.30999999999767,0
3,buy,2021-12-03 10:17:10,-17700.9,1
4,sell,2021-12-03 10:30:05,27.81999999999971,0
5,sell,2021-12-03 10:31:00,17757.81,-1
6,buy,2021-12-03 10:45:20,39.400000000001455,0
7,sell,2021-12-03 10:48:55,17770.370000000003,-1
8,buy,2021-12-03 10:50:05,46.17000000000189,0
9,buy,2021-12-03 10:50:10,-17680.64,1
10,sell,2021-12-03 11:10:10,52.13000000000102,0
11,sell,2021-12-03 11:10:30,17788.18,-1
12,buy,2021-12-03 11:20:05,51.099999999998545,0
13,buy,2021-12-03 11:20:10,-17686.75,1
14,sell,2021-12-03 11:45:20,66.06999999999971,0
15,sell,2021-12-03 11:45:25,17817.2,-1
16,buy,2021-12-03 11:50:40,74.68000000000029,0
17,buy,2021-12-03 11:52:50,-17666.82,1
18,sell,2021-12-03 12:00:05,76.45999999999913,0
19,sell,2021-12-03 12:00:10,17822.739999999998,-1
20,buy,2021-12-03 12:30:35,76.05999999999767,0
