,action,time,wealth,Position
1,sell,2021-11-17 09:40:05,17718.03,-1
2,buy,2021-11-17 10:00:05,4.049999999999272,0
3,buy,2021-11-17 10:00:10,-17706.88,1
4,sell,2021-11-17 10:30:05,20.450000000000728,0
5,sell,2021-11-17 10:30:10,17752.58,-1
6,buy,2021-11-17 11:23:05,0.9100000000034925,0
7,buy,2021-11-17 11:24:10,-17746.229999999996,1
8,sell,2021-11-17 11:25:00,3.140000000003056,0
9,buy,2021-11-17 11:25:55,-17736.01,1
10,sell,2021-11-17 11:30:05,0.8200000000033469,0
11,sell,2021-11-17 11:30:10,17737.060000000005,-1
12,buy,2021-11-17 11:50:20,-17.529999999995198,0
13,buy,2021-11-17 11:54:15,-17770.349999999995,1
14,sell,2021-11-17 11:55:15,-22.38999999999578,0
15,buy,2021-11-17 11:58:15,-17774.479999999996,1
16,sell,2021-11-17 12:13:55,-20.00999999999476,0
17,buy,2021-11-17 12:24:20,-17759.479999999996,1
18,sell,2021-11-17 12:30:10,-18.109999999996944,0
19,buy,2021-11-17 12:33:35,-17741.109999999997,1
20,sell,2021-11-17 13:20:15,-15.93999999999869,0
