,action,time,wealth,Position
1,buy,2022-01-03 09:40:05,-18280.86,1
2,sell,2022-01-03 10:20:05,2.709999999999127,0
3,sell,2022-01-03 10:20:10,18277.86,-1
4,buy,2022-01-03 10:36:55,-1.5999999999985448,0
5,sell,2022-01-03 10:40:15,18274.75,-1
6,buy,2022-01-03 11:00:05,0.2000000000007276,0
7,buy,2022-01-03 11:00:15,-18277.85,1
8,sell,2022-01-03 12:00:05,-19.239999999997963,0
9,sell,2022-01-03 12:00:10,18233.38,-1
10,buy,2022-01-03 12:10:10,-18.639999999999418,0
11,buy,2022-01-03 12:11:55,-18268.82,1
12,sell,2022-01-03 12:44:45,-20.709999999999127,0
13,sell,2022-01-03 12:44:55,18231.95,-1
14,buy,2022-01-03 13:00:15,-26.020000000000437,0
15,buy,2022-01-03 13:00:20,-18282.52,1
16,sell,2022-01-03 13:06:55,-6.0,0
17,sell,2022-01-03 13:07:40,18266.35,-1
18,buy,2022-01-03 13:20:05,5.009999999998399,0
19,buy,2022-01-03 13:20:10,-18251.870000000003,1
20,sell close,2022-01-03 13:29:45,18.63999999999578,0
