,action,time,wealth,Position
1,buy,2021-12-17 09:40:05,-17788.75,1
2,sell,2021-12-17 10:00:05,10.729999999999563,0
3,sell,2021-12-17 10:00:10,17801.25,-1
4,buy,2021-12-17 10:32:40,-10.150000000001455,0
5,buy,2021-12-17 10:32:45,-17823.07,1
6,sell,2021-12-17 11:49:35,-40.75,0
7,sell,2021-12-17 11:49:45,17743.61,-1
8,buy,2021-12-17 11:50:05,-38.779999999998836,0
9,buy,2021-12-17 11:50:10,-17821.43,1
10,sell,2021-12-17 13:00:10,-46.4900000000016,0
11,sell,2021-12-17 13:00:30,17736.609999999997,-1
12,buy close,2021-12-17 13:29:45,-75.9800000000032,0
