,action,time,wealth,Position
1,sell,2021-11-18 09:40:05,17812.96,-1
2,buy,2021-11-18 09:45:45,13.729999999999563,0
3,sell,2021-11-18 09:48:10,17818.12,-1
4,buy,2021-11-18 09:56:40,19.68999999999869,0
5,buy,2021-11-18 10:00:05,-17774.15,1
6,sell,2021-11-18 10:20:10,-11.659999999999854,0
7,buy,2021-11-18 10:26:00,-17768.65,1
8,sell,2021-11-18 10:26:35,-1.7100000000027649,0
9,sell,2021-11-18 10:26:40,17764.839999999997,-1
10,buy,2021-11-18 10:43:30,-37.24000000000524,0
11,sell,2021-11-18 10:44:15,17778.749999999996,-1
12,buy,2021-11-18 10:50:05,-27.210000000002765,0
13,buy,2021-11-18 10:50:10,-17833.590000000004,1
14,sell,2021-11-18 11:02:10,-33.890000000003056,0
15,sell,2021-11-18 11:03:55,17760.1,-1
16,buy,2021-11-18 11:11:45,-30.56999999999971,0
17,buy,2021-11-18 11:20:05,-17820.61,1
18,sell,2021-11-18 11:30:05,-13.889999999999418,0
19,sell,2021-11-18 11:30:10,17791.0,-1
20,buy,2021-11-18 12:01:35,-27.349999999998545,0
