,action,time,wealth,Position
1,buy,2021-12-23 09:40:05,-17925.27,1
2,sell,2021-12-23 09:53:10,12.880000000001019,0
3,sell,2021-12-23 09:53:55,17961.98,-1
4,buy,2021-12-23 10:20:15,16.899999999997817,0
5,buy,2021-12-23 10:20:20,-17937.49,1
6,sell,2021-12-23 10:40:25,1.2599999999983993,0
7,sell,2021-12-23 10:40:30,17939.96,-1
8,buy,2021-12-23 11:19:45,7.790000000000873,0
9,sell,2021-12-23 11:21:30,17945.36,-1
10,buy,2021-12-23 11:34:30,30.350000000002183,0
11,buy,2021-12-23 11:34:35,-17884.67,1
12,sell,2021-12-23 12:20:05,48.25,0
13,sell,2021-12-23 12:20:10,17980.53,-1
14,buy,2021-12-23 12:35:20,60.5,0
15,buy,2021-12-23 12:35:25,-17862.13,1
16,sell,2021-12-23 12:40:05,58.31999999999971,0
17,sell,2021-12-23 12:40:10,17979.38,-1
18,buy,2021-12-23 13:15:00,52.60000000000218,0
19,buy,2021-12-23 13:17:45,-17859.449999999997,1
20,sell close,2021-12-23 13:29:45,87.21000000000276,0
