,action,time,wealth,Position
1,buy,2021-12-09 09:40:05,-17885.57,1
2,sell,2021-12-09 10:17:35,-9.979999999999563,0
3,sell,2021-12-09 10:20:05,17856.87,-1
4,buy,2021-12-09 10:45:05,-26.139999999999418,0
5,buy,2021-12-09 10:47:20,-17906.3,1
6,sell,2021-12-09 10:50:35,-8.779999999998836,0
7,sell,2021-12-09 10:50:40,17879.460000000003,-1
8,buy,2021-12-09 10:53:30,3.140000000003056,0
9,buy,2021-12-09 10:53:40,-17867.899999999998,1
10,sell,2021-12-09 11:10:05,23.12000000000262,0
11,sell,2021-12-09 11:10:10,17914.450000000004,-1
12,buy,2021-12-09 11:27:35,46.87000000000262,0
13,buy,2021-12-09 11:27:40,-17822.53,1
14,sell,2021-12-09 12:40:05,9.80000000000291,0
15,sell,2021-12-09 12:40:10,17840.58,-1
16,buy,2021-12-09 12:50:05,3.9100000000034925,0
17,buy,2021-12-09 12:50:10,-17834.709999999995,1
18,sell,2021-12-09 13:00:25,6.640000000003056,0
19,sell,2021-12-09 13:00:30,17846.300000000003,-1
20,buy,2021-12-09 13:11:15,12.80000000000291,0
