,action,time,wealth,Position
1,sell,2021-11-12 09:40:05,17558.46,-1
2,buy,2021-11-12 10:00:05,-15.470000000001164,0
3,buy,2021-11-12 10:00:10,-17589.64,1
4,sell,2021-11-12 10:24:50,-7.059999999997672,0
5,sell,2021-11-12 10:25:15,17584.280000000002,-1
6,buy,2021-11-12 10:29:30,10.500000000003638,0
7,buy,2021-11-12 10:30:10,-17564.529999999995,1
8,sell,2021-11-12 10:34:15,34.24000000000524,0
9,sell,2021-11-12 10:34:30,17632.420000000006,-1
10,buy,2021-11-12 10:36:25,49.200000000004366,0
11,buy,2021-11-12 10:55:55,-17534.879999999997,1
12,sell,2021-11-12 11:18:35,1.3000000000029104,0
13,buy,2021-11-12 11:20:05,-17525.269999999997,1
14,sell,2021-11-12 12:10:05,-19.909999999996217,0
15,sell,2021-11-12 12:10:10,17485.140000000003,-1
16,buy,2021-11-12 12:20:50,-31.20999999999549,0
17,buy,2021-11-12 12:24:10,-17542.849999999995,1
18,sell,2021-11-12 12:47:35,-40.799999999995634,0
19,sell,2021-11-12 12:48:15,17471.770000000004,-1
20,buy,2021-11-12 13:05:00,-30.499999999996362,0
