,action,time,wealth,Position
1,buy,2021-11-26 09:40:05,-17473.82,1
2,sell,2021-11-26 11:00:05,-77.95000000000073,0
3,sell,2021-11-26 11:00:10,17317.7,-1
4,buy,2021-11-26 11:10:05,-69.31999999999971,0
5,buy,2021-11-26 11:10:10,-17456.579999999998,1
6,sell,2021-11-26 11:16:00,-43.94999999999709,0
7,buy,2021-11-26 11:20:05,-17454.639999999996,1
8,sell,2021-11-26 11:59:55,-63.969999999997526,0
9,buy,2021-11-26 12:00:05,-17458.339999999997,1
10,sell,2021-11-26 12:10:10,-71.97999999999593,0
11,sell,2021-11-26 12:10:15,17309.860000000004,-1
12,buy,2021-11-26 12:19:35,-68.23999999999432,0
13,buy,2021-11-26 12:19:50,-17444.849999999995,1
14,sell,2021-11-26 13:00:05,-89.31999999999607,0
15,sell,2021-11-26 13:00:10,17272.990000000005,-1
16,buy,2021-11-26 13:11:55,-61.45999999999549,0
17,buy,2021-11-26 13:13:55,-17401.309999999994,1
18,sell,2021-11-26 13:14:15,-57.20999999999549,0
19,buy,2021-11-26 13:16:05,-17396.819999999996,1
20,sell close,2021-11-26 13:29:45,-27.429999999996653,0
