,action,time,wealth,Position
1,sell,2021-12-16 09:40:05,17744.02,-1
2,buy,2021-12-16 10:10:05,7.75,0
3,buy,2021-12-16 10:10:10,-17729.16,1
4,sell,2021-12-16 10:40:05,36.42000000000189,0
5,sell,2021-12-16 10:40:10,17792.93,-1
6,buy,2021-12-16 10:50:15,38.0,0
7,buy,2021-12-16 10:50:20,-17728.77,1
8,sell,2021-12-16 10:57:25,50.88999999999942,0
9,sell,2021-12-16 10:57:30,17829.87,-1
10,buy,2021-12-16 11:02:40,63.95999999999913,0
11,sell,2021-12-16 11:07:45,17842.6,-1
12,buy,2021-12-16 11:20:05,71.37999999999738,0
13,buy,2021-12-16 11:20:10,-17708.31,1
14,sell,2021-12-16 12:10:35,54.61999999999898,0
15,sell,2021-12-16 12:10:40,17818.05,-1
16,buy,2021-12-16 12:42:15,77.61999999999898,0
17,buy,2021-12-16 12:42:20,-17671.0,1
18,sell,2021-12-16 12:54:10,94.97999999999956,0
19,sell,2021-12-16 12:54:15,17860.829999999998,-1
20,buy,2021-12-16 13:00:10,82.71999999999753,0
