,action,time,wealth,Position
1,buy,2021-11-05 09:40:05,-17138.61,1
2,sell,2021-11-05 10:10:05,47.18000000000029,0
3,sell,2021-11-05 10:10:10,17230.96,-1
4,buy,2021-11-05 11:00:25,30.169999999998254,0
5,sell,2021-11-05 11:10:05,17235.62,-1
6,buy,2021-11-05 11:31:20,35.89999999999782,0
7,sell,2021-11-05 11:37:45,17241.23,-1
8,buy,2021-11-05 12:00:05,-7.240000000001601,0
9,buy,2021-11-05 12:00:10,-17253.570000000003,1
10,sell,2021-11-05 12:14:30,-12.12000000000262,0
11,sell,2021-11-05 12:14:45,17240.059999999998,-1
12,buy,2021-11-05 12:20:05,-15.170000000001892,0
13,sell,2021-11-05 12:32:15,17231.69,-1
14,buy,2021-11-05 12:40:05,-17.200000000000728,0
15,buy,2021-11-05 12:40:10,-17265.940000000002,1
16,sell,2021-11-05 13:02:45,-17.140000000003056,0
17,sell,2021-11-05 13:05:40,17236.829999999998,-1
18,buy,2021-11-05 13:20:05,-39.88000000000102,0
19,buy,2021-11-05 13:20:10,-17317.58,1
20,sell close,2021-11-05 13:29:45,-20.68000000000029,0
