,action,time,wealth,Position
1,sell,2021-11-09 09:40:05,17537.85,-1
2,buy,2021-11-09 10:00:05,-6.010000000002037,0
3,buy,2021-11-09 10:00:10,-17551.11,1
4,sell,2021-11-09 10:10:05,-5.5900000000001455,0
5,sell,2021-11-09 10:10:10,17547.47,-1
6,buy,2021-11-09 10:20:25,-1.9799999999995634,0
7,buy,2021-11-09 10:20:30,-17560.92,1
8,sell,2021-11-09 10:42:05,3.600000000002183,0
9,sell,2021-11-09 10:42:10,17567.430000000004,-1
10,buy,2021-11-09 11:04:50,11.780000000002474,0
11,buy,2021-11-09 11:05:35,-17538.17,1
12,sell,2021-11-09 11:20:50,30.400000000001455,0
13,buy,2021-11-09 11:22:55,-17524.0,1
14,sell,2021-11-09 11:25:20,47.900000000001455,0
15,buy,2021-11-09 11:27:15,-17509.07,1
16,sell,2021-11-09 11:50:05,22.760000000002037,0
17,buy,2021-11-09 11:59:30,-17499.449999999997,1
18,sell,2021-11-09 12:10:05,32.43000000000393,0
19,sell,2021-11-09 12:10:10,17561.970000000005,-1
20,buy,2021-11-09 12:50:05,16.870000000006257,0
