,action,time,wealth,Position
1,sell,2021-12-14 09:40:05,17672.5,-1
2,buy,2021-12-14 10:00:05,-1.110000000000582,0
3,buy,2021-12-14 10:00:10,-17677.34,1
4,sell,2021-12-14 11:24:00,-52.279999999998836,0
5,sell,2021-12-14 11:24:10,17575.89,-1
6,buy,2021-12-14 11:30:15,-47.159999999999854,0
7,buy,2021-12-14 11:31:00,-17671.44,1
8,sell,2021-12-14 12:00:05,-62.77000000000044,0
9,sell,2021-12-14 12:00:10,17547.22,-1
10,buy,2021-12-14 12:10:05,-52.29999999999927,0
11,buy,2021-12-14 12:10:10,-17654.23,1
12,sell,2021-12-14 12:50:40,-55.099999999998545,0
13,sell,2021-12-14 12:50:45,17542.93,-1
14,buy,2021-12-14 13:10:30,-48.04999999999927,0
15,buy,2021-12-14 13:10:35,-17638.6,1
16,sell close,2021-12-14 13:29:45,-39.22999999999956,0
