,action,time,wealth,Position
1,buy,2021-12-10 09:40:05,-17830.36,1
2,sell,2021-12-10 10:14:00,24.93000000000029,0
3,sell,2021-12-10 10:14:05,17882.91,-1
4,buy,2021-12-10 10:30:35,38.86999999999898,0
5,buy,2021-12-10 10:30:40,-17804.93,1
6,sell,2021-12-10 10:40:05,43.849999999998545,0
7,sell,2021-12-10 10:40:10,17890.489999999998,-1
8,buy,2021-12-10 10:50:05,48.419999999998254,0
9,buy,2021-12-10 10:52:00,-17792.100000000002,1
10,sell,2021-12-10 11:38:00,33.54999999999927,0
11,sell,2021-12-10 11:38:10,17873.98,-1
12,buy,2021-12-10 12:00:15,30.049999999999272,0
13,buy,2021-12-10 12:00:20,-17813.75,1
14,sell,2021-12-10 12:41:25,25.349999999998545,0
15,sell,2021-12-10 12:41:30,17863.68,-1
16,buy,2021-12-10 12:50:05,35.86000000000058,0
17,buy,2021-12-10 12:50:10,-17792.7,1
18,sell,2021-12-10 13:01:35,51.14999999999782,0
19,sell,2021-12-10 13:01:40,17897.539999999997,-1
20,buy close,2021-12-10 13:29:45,71.27999999999884,0
