,action,time,wealth,Position
1,buy,2021-10-28 09:45:55,-17098.77,1
2,sell,2021-10-28 10:13:10,-6.490000000001601,0
3,sell,2021-10-28 10:14:55,17090.149999999998,-1
4,buy,2021-10-28 10:16:50,9.549999999999272,0
5,buy,2021-10-28 10:20:05,-17080.73,1
6,sell,2021-10-28 11:30:10,-34.73999999999796,0
7,buy,2021-10-28 11:32:55,-17061.379999999997,1
8,sell,2021-10-28 11:43:50,-26.0099999999984,0
9,buy,2021-10-28 11:50:05,-17050.3,1
10,sell,2021-10-28 12:47:00,-28.169999999998254,0
11,sell,2021-10-28 12:48:30,16996.600000000002,-1
12,buy,2021-10-28 13:10:05,-53.90999999999622,0
13,buy,2021-10-28 13:10:10,-17104.109999999997,1
14,sell,2021-10-28 13:20:05,-46.88999999999578,0
15,sell,2021-10-28 13:20:10,17009.620000000003,-1
16,buy close,2021-10-28 13:29:45,-32.0099999999984,0
