,action,time,wealth,Position
1,sell,2021-10-26 09:40:05,17011.96,-1
2,buy,2021-10-26 10:00:05,35.47999999999956,0
3,buy,2021-10-26 10:00:10,-16940.81,1
4,sell,2021-10-26 10:10:45,49.159999999999854,0
5,sell,2021-10-26 10:10:50,17029.63,-1
6,buy,2021-10-26 10:20:05,25.799999999999272,0
7,buy,2021-10-26 10:20:10,-16969.81,1
8,sell,2021-10-26 10:55:50,70.05999999999767,0
9,sell,2021-10-26 10:56:00,17110.539999999997,-1
10,buy,2021-10-26 11:10:05,48.7599999999984,0
11,buy,2021-10-26 11:10:10,-17010.27,1
12,sell,2021-10-26 11:44:50,39.86000000000058,0
13,buy,2021-10-26 11:50:05,-17011.39,1
14,sell,2021-10-26 12:00:05,32.29999999999927,0
15,sell,2021-10-26 12:00:10,17068.899999999998,-1
16,buy,2021-10-26 12:10:05,33.82999999999811,0
17,sell,2021-10-26 12:19:15,17085.48,-1
18,buy,2021-10-26 12:30:30,46.38000000000102,0
19,buy,2021-10-26 12:31:55,-16988.62,1
20,sell,2021-10-26 12:38:55,58.31999999999971,0
