,action,time,wealth,Position
1,buy,2021-12-20 09:41:20,-17788.82,1
2,sell,2021-12-20 11:33:35,-116.43999999999869,0
3,sell,2021-12-20 11:33:50,17556.920000000002,-1
4,buy,2021-12-20 11:36:10,-103.80999999999767,0
5,buy,2021-12-20 11:36:30,-17767.14,1
6,sell,2021-12-20 11:40:35,-97.73999999999796,0
7,sell,2021-12-20 11:40:40,17571.97,-1
8,buy,2021-12-20 12:10:05,-96.81999999999971,0
9,buy,2021-12-20 12:10:10,-17757.6,1
10,sell,2021-12-20 12:20:05,-79.11999999999898,0
11,sell,2021-12-20 12:20:10,17600.48,-1
12,buy,2021-12-20 12:40:05,-104.60000000000218,0
13,buy,2021-12-20 12:40:10,-17801.36,1
14,sell,2021-12-20 12:50:05,-103.60000000000218,0
15,sell,2021-12-20 12:50:55,17603.399999999998,-1
16,buy,2021-12-20 12:53:45,-87.79000000000087,0
17,buy,2021-12-20 12:53:55,-17774.48,1
18,sell,2021-12-20 13:00:05,-79.97000000000116,0
19,sell,2021-12-20 13:00:10,17614.129999999997,-1
20,buy,2021-12-20 13:10:05,-72.65000000000146,0
