,action,time,wealth,Position
1,buy,2021-10-27 09:40:05,-17048.98,1
2,sell,2021-10-27 10:30:05,-30.06000000000131,0
3,sell,2021-10-27 10:30:10,16989.48,-1
4,buy,2021-10-27 10:31:40,-15.450000000000728,0
5,buy,2021-10-27 10:32:50,-17025.690000000002,1
6,sell,2021-10-27 11:20:10,-36.82000000000335,0
7,sell,2021-10-27 11:20:30,16961.289999999997,-1
8,buy,2021-10-27 11:30:15,-25.13000000000102,0
9,buy,2021-10-27 11:33:40,-17010.25,1
10,sell,2021-10-27 11:38:50,-12.779999999998836,0
11,sell,2021-10-27 11:40:05,16976.79,-1
12,buy,2021-10-27 12:01:55,-28.590000000000146,0
13,buy,2021-10-27 12:03:55,-17029.69,1
14,sell,2021-10-27 12:10:55,-14.25,0
15,buy,2021-10-27 12:12:00,-17021.74,1
16,sell,2021-10-27 12:15:45,-6.880000000001019,0
17,buy,2021-10-27 12:18:40,-17008.440000000002,1
18,sell,2021-10-27 12:20:05,4.169999999998254,0
19,sell,2021-10-27 12:20:10,17018.03,-1
20,buy,2021-10-27 12:40:20,1.7700000000004366,0
