,action,time,wealth,Position
1,buy,2021-12-21 09:43:20,-17729.23,1
2,sell,2021-12-21 10:01:55,11.130000000001019,0
3,sell,2021-12-21 10:02:05,17760.56,-1
4,buy,2021-12-21 10:40:20,4.30000000000291,0
5,buy,2021-12-21 10:40:25,-17752.1,1
6,sell,2021-12-21 11:10:05,11.5,0
7,sell,2021-12-21 11:10:10,17774.86,-1
8,buy,2021-12-21 11:39:00,11.610000000000582,0
9,buy,2021-12-21 11:39:05,-17752.71,1
10,sell,2021-12-21 12:09:10,36.13000000000102,0
11,sell,2021-12-21 12:09:15,17824.710000000003,-1
12,buy,2021-12-21 12:31:30,41.86000000000422,0
13,buy,2021-12-21 12:31:35,-17743.039999999997,1
14,sell,2021-12-21 12:36:20,64.10000000000218,0
15,sell,2021-12-21 12:36:25,17870.63,-1
16,buy,2021-12-21 12:50:15,55.7400000000016,0
17,buy,2021-12-21 12:50:50,-17758.09,1
18,sell,2021-12-21 13:10:10,62.57999999999811,0
19,sell,2021-12-21 13:10:15,17879.21,-1
20,buy,2021-12-21 13:20:05,72.97999999999956,0
