,action,time,wealth,Position
1,buy,2021-12-29 09:40:05,-18230.11,1
2,sell,2021-12-29 10:10:55,-31.529999999998836,0
3,sell,2021-12-29 10:13:55,18171.83,-1
4,buy,2021-12-29 10:20:05,-30.529999999998836,0
5,buy,2021-12-29 10:20:10,-18232.579999999998,1
6,sell,2021-12-29 10:30:05,-19.589999999996508,0
7,sell,2021-12-29 10:30:10,18191.170000000002,-1
8,buy,2021-12-29 10:40:10,-42.289999999997235,0
9,buy,2021-12-29 10:40:25,-18264.12,1
10,sell,2021-12-29 11:00:05,-28.039999999997235,0
11,sell,2021-12-29 11:00:10,18208.58,-1
12,buy,2021-12-29 11:30:25,-18.609999999996944,0
13,buy,2021-12-29 11:30:30,-18244.899999999998,1
14,sell,2021-12-29 11:44:40,-11.409999999996217,0
15,sell,2021-12-29 11:48:20,18226.090000000004,-1
16,buy,2021-12-29 13:00:05,-33.99999999999636,0
17,buy,2021-12-29 13:00:10,-18300.729999999996,1
18,sell,2021-12-29 13:20:05,-33.36999999999534,0
19,sell,2021-12-29 13:20:10,18232.710000000006,-1
20,buy close,2021-12-29 13:29:45,-15.569999999992433,0
