,action,time,wealth,Position
1,sell,2021-11-04 09:40:05,17188.58,-1
2,buy,2021-11-04 10:00:05,10.730000000003201,0
3,buy,2021-11-04 10:00:10,-17165.26,1
4,sell,2021-11-04 10:20:55,25.88000000000102,0
5,sell,2021-11-04 10:21:00,17216.48,-1
6,buy,2021-11-04 10:38:25,35.61999999999898,0
7,buy,2021-11-04 10:40:15,-17133.07,1
8,sell,2021-11-04 11:20:05,28.959999999999127,0
9,sell,2021-11-04 11:20:10,17191.69,-1
10,buy,2021-11-04 11:21:10,34.31999999999971,0
11,buy,2021-11-04 11:21:55,-17111.1,1
12,sell,2021-11-04 11:22:20,35.86000000000058,0
13,buy,2021-11-04 11:22:45,-17107.38,1
14,sell,2021-11-04 12:10:05,-7.880000000001019,0
15,sell,2021-11-04 12:10:10,17091.059999999998,-1
16,buy,2021-11-04 12:30:05,-12.610000000000582,0
17,buy,2021-11-04 12:34:25,-17114.190000000002,1
18,sell,2021-11-04 13:24:50,-28.330000000001746,0
19,sell,2021-11-04 13:24:55,17057.53,-1
20,buy close,2021-11-04 13:29:45,-21.330000000001746,0
