,action,time,wealth,Position
1,buy,2021-11-22 09:40:05,-17801.22,1
2,sell,2021-11-22 10:30:05,20.270000000000437,0
3,sell,2021-11-22 10:30:10,17841.09,-1
4,buy,2021-11-22 10:40:05,24.479999999999563,0
5,buy,2021-11-22 10:40:10,-17793.9,1
6,sell,2021-11-22 10:50:05,23.82999999999811,0
7,sell,2021-11-22 10:50:15,17851.339999999997,-1
8,buy,2021-11-22 11:00:15,26.739999999997963,0
9,buy,2021-11-22 11:00:25,-17796.06,1
10,sell,2021-11-22 11:20:05,24.909999999999854,0
11,sell,2021-11-22 11:20:10,17845.94,-1
12,buy,2021-11-22 11:30:30,26.37999999999738,0
13,buy,2021-11-22 11:31:15,-17786.54,1
14,sell,2021-11-22 11:40:05,30.5,0
15,sell,2021-11-22 11:40:55,17844.82,-1
16,buy,2021-11-22 12:20:05,6.43999999999869,0
17,buy,2021-11-22 12:20:10,-17840.780000000002,1
18,sell,2021-11-22 12:33:25,-2.0200000000040745,0
19,sell,2021-11-22 12:33:40,17840.809999999998,-1
20,buy,2021-11-22 12:37:00,8.229999999995925,0
