,action,time,wealth,Position
1,buy,2021-11-16 09:40:10,-17680.22,1
2,sell,2021-11-16 09:47:00,20.299999999999272,0
3,sell,2021-11-16 09:48:00,17722.29,-1
4,buy,2021-11-16 09:58:45,33.06999999999971,0
5,buy,2021-11-16 10:00:05,-17651.96,1
6,sell,2021-11-16 10:10:30,28.7400000000016,0
7,buy,2021-11-16 10:12:50,-17644.96,1
8,sell,2021-11-16 10:29:05,47.62000000000262,0
9,buy,2021-11-16 10:30:05,-17645.94,1
10,sell,2021-11-16 10:40:15,37.38000000000102,0
11,buy,2021-11-16 10:44:40,-17638.0,1
12,sell,2021-11-16 10:50:05,49.63000000000102,0
13,sell,2021-11-16 10:50:10,17727.9,-1
14,buy,2021-11-16 11:00:10,46.4900000000016,0
15,buy,2021-11-16 11:00:35,-17633.51,1
16,sell,2021-11-16 11:59:45,34.9900000000016,0
17,sell,2021-11-16 11:59:50,17691.190000000002,-1
18,buy,2021-11-16 12:20:10,32.900000000001455,0
19,buy,2021-11-16 12:20:20,-17617.989999999998,1
20,sell,2021-11-16 12:22:05,45.16000000000349,0
