,action,time,wealth,Position
1,buy,2021-11-10 09:40:15,-17555.52,1
2,sell,2021-11-10 10:28:30,-13.720000000001164,0
3,sell,2021-11-10 10:29:05,17528.78,-1
4,buy,2021-11-10 11:00:05,3.0200000000004366,0
5,buy,2021-11-10 11:00:15,-17522.16,1
6,sell,2021-11-10 11:37:00,5.639999999999418,0
7,sell,2021-11-10 11:41:25,17532.39,-1
8,buy,2021-11-10 12:20:20,-20.11999999999898,0
9,buy,2021-11-10 12:20:25,-17574.69,1
10,sell,2021-11-10 12:30:05,-17.709999999999127,0
11,sell,2021-11-10 12:30:10,17539.36,-1
12,buy,2021-11-10 12:40:05,0.7099999999991269,0
13,buy,2021-11-10 12:40:10,-17541.920000000002,1
14,sell,2021-11-10 13:00:55,13.289999999997235,0
15,sell,2021-11-10 13:01:00,17569.139999999996,-1
16,buy,2021-11-10 13:10:20,5.719999999997526,0
17,buy,2021-11-10 13:10:50,-17558.33,1
18,sell close,2021-11-10 13:29:45,1.319999999999709,0
