,action,time,wealth,Position
1,buy,2021-11-19 09:40:05,-17902.37,1
2,sell,2021-11-19 10:30:05,-36.75,0
3,sell,2021-11-19 10:30:10,17835.89,-1
4,buy,2021-11-19 10:40:15,-43.7400000000016,0
5,buy,2021-11-19 10:40:45,-17917.710000000003,1
6,sell,2021-11-19 10:50:05,-54.34000000000378,0
7,sell,2021-11-19 10:51:25,17820.359999999997,-1
8,buy,2021-11-19 11:00:10,-50.830000000001746,0
9,buy,2021-11-19 11:00:15,-17935.160000000003,1
10,sell,2021-11-19 11:50:05,-107.09000000000378,0
11,sell,2021-11-19 11:50:10,17711.919999999995,-1
12,buy,2021-11-19 12:00:05,-106.38000000000466,0
13,buy,2021-11-19 12:00:10,-17924.090000000004,1
14,sell,2021-11-19 12:20:15,-111.53000000000247,0
15,sell,2021-11-19 12:20:25,17707.129999999997,-1
16,buy,2021-11-19 12:30:05,-97.35000000000218,0
17,buy,2021-11-19 12:30:10,-17903.370000000003,1
18,sell,2021-11-19 12:56:40,-87.54000000000087,0
19,sell,2021-11-19 13:00:05,17718.14,-1
20,buy,2021-11-19 13:10:45,-97.15000000000146,0
