,action,time,wealth,Position
1,buy,2021-12-02 09:40:05,-17700.36,1
2,sell,2021-12-02 09:41:30,24.860000000000582,0
3,sell,2021-12-02 09:41:35,17742.9,-1
4,buy,2021-12-02 10:03:50,31.7400000000016,0
5,buy,2021-12-02 10:04:10,-17679.26,1
6,sell,2021-12-02 10:12:10,17.360000000000582,0
7,buy,2021-12-02 10:15:05,-17670.16,1
8,sell,2021-12-02 10:40:05,13.639999999999418,0
9,sell,2021-12-02 10:40:10,17695.98,-1
10,buy,2021-12-02 10:48:30,57.20999999999913,0
11,buy,2021-12-02 10:50:05,-17577.25,1
12,sell,2021-12-02 11:30:05,94.58000000000175,0
13,sell,2021-12-02 11:30:45,17772.86,-1
14,buy,2021-12-02 12:00:05,87.27999999999884,0
15,buy,2021-12-02 12:00:10,-17597.63,1
16,sell,2021-12-02 12:01:50,102.21999999999753,0
17,sell,2021-12-02 12:02:10,17808.179999999997,-1
18,buy,2021-12-02 12:14:10,99.47999999999593,0
19,buy,2021-12-02 12:15:20,-17597.170000000006,1
20,sell,2021-12-02 12:31:00,109.87999999999374,0
