,action,time,wealth,Position
1,sell,2021-12-27 09:40:05,18072.57,-1
2,buy,2021-12-27 10:00:05,-1.7900000000008731,0
3,buy,2021-12-27 10:00:10,-18077.33,1
4,sell,2021-12-27 10:25:40,0.21999999999752617,0
5,sell,2021-12-27 10:25:45,18077.03,-1
6,buy,2021-12-27 10:52:55,0.5499999999992724,0
7,buy,2021-12-27 10:53:40,-18074.5,1
8,sell,2021-12-27 11:11:05,16.229999999999563,0
9,sell,2021-12-27 11:14:20,18099.079999999998,-1
10,buy,2021-12-27 11:26:10,34.039999999997235,0
11,sell,2021-12-27 11:30:05,18105.589999999997,-1
12,buy,2021-12-27 11:40:05,44.58999999999651,0
13,buy,2021-12-27 11:40:10,-18013.410000000003,1
14,sell,2021-12-27 12:20:05,46.42999999999665,0
15,sell,2021-12-27 12:21:00,18116.92,-1
16,buy,2021-12-27 12:40:05,32.159999999999854,0
17,buy,2021-12-27 12:41:00,-18044.75,1
18,sell,2021-12-27 13:08:45,28.729999999999563,0
19,sell,2021-12-27 13:09:45,18105.329999999998,-1
20,buy,2021-12-27 13:10:05,35.22999999999956,0
