,action,time,wealth,Position
1,buy,2021-10-25 09:40:10,-16831.07,1
2,sell,2021-10-25 10:10:05,-15.900000000001455,0
3,sell,2021-10-25 10:10:10,16791.28,-1
4,buy,2021-10-25 10:20:05,-32.62000000000262,0
5,buy,2021-10-25 10:20:10,-16856.480000000003,1
6,sell,2021-10-25 10:30:40,-15.05000000000291,0
7,sell,2021-10-25 10:32:55,16833.109999999997,-1
8,buy,2021-10-25 10:40:05,-45.530000000002474,0
9,buy,2021-10-25 10:40:10,-16922.750000000004,1
10,sell,2021-10-25 11:07:35,-35.960000000002765,0
11,buy,2021-10-25 11:10:05,-16913.670000000002,1
12,sell,2021-10-25 11:12:30,-11.590000000000146,0
13,sell,2021-10-25 11:13:00,16890.81,-1
14,buy,2021-10-25 11:30:05,-24.239999999997963,0
15,buy,2021-10-25 11:30:10,-16939.019999999997,1
16,sell,2021-10-25 11:50:05,-20.899999999997817,0
17,sell,2021-10-25 11:50:10,16895.280000000002,-1
18,buy,2021-10-25 12:00:05,-7.309999999997672,0
19,buy,2021-10-25 12:00:10,-16918.35,1
20,sell,2021-10-25 12:29:55,-12.529999999998836,0
