,action,time,wealth,Position
1,buy,2021-11-25 09:40:05,-17622.81,1
2,sell,2021-11-25 10:00:05,5.009999999998399,0
3,sell,2021-11-25 10:00:10,17639.76,-1
4,buy,2021-11-25 10:10:15,-10.37000000000262,0
5,sell,2021-11-25 10:12:00,17653.109999999997,-1
6,buy,2021-11-25 10:21:20,-16.510000000002037,0
7,sell,2021-11-25 10:29:35,17658.579999999998,-1
8,buy,2021-11-25 10:30:05,-6.170000000001892,0
9,buy,2021-11-25 10:30:25,-17669.77,1
10,sell,2021-11-25 11:20:25,-17.06000000000131,0
11,sell,2021-11-25 11:20:35,17642.16,-1
12,buy,2021-11-25 11:30:05,-21.67000000000189,0
13,buy,2021-11-25 11:30:10,-17685.68,1
14,sell,2021-11-25 11:41:05,-23.459999999999127,0
15,buy,2021-11-25 11:43:40,-17679.32,1
16,sell,2021-11-25 11:47:05,-20.81999999999971,0
17,buy,2021-11-25 11:48:10,-17678.13,1
18,sell,2021-11-25 11:52:50,-22.19000000000233,0
19,sell,2021-11-25 12:00:15,17641.679999999997,-1
20,buy,2021-11-25 12:40:10,-29.640000000003056,0
