,action,time,wealth,Position
1,sell,2021-11-23 09:41:45,17738.87,-1
2,buy,2021-11-23 10:00:25,11.059999999997672,0
3,buy,2021-11-23 10:00:45,-17715.680000000004,1
4,sell,2021-11-23 10:04:30,18.05999999999767,0
5,buy,2021-11-23 10:09:25,-17707.61,1
6,sell,2021-11-23 11:20:05,-0.6599999999998545,0
7,sell,2021-11-23 11:20:55,17710.32,-1
8,buy,2021-11-23 11:50:55,-7.1599999999998545,0
9,buy,2021-11-23 12:06:20,-17709.92,1
10,sell,2021-11-23 12:10:05,-4.309999999997672,0
11,sell,2021-11-23 12:10:20,17698.190000000002,-1
12,buy,2021-11-23 12:16:55,0.4000000000014552,0
13,buy,2021-11-23 12:20:10,-17694.89,1
14,sell,2021-11-23 13:00:10,-13.209999999999127,0
15,sell,2021-11-23 13:00:15,17658.25,-1
16,buy,2021-11-23 13:10:15,-14.720000000001164,0
17,buy,2021-11-23 13:10:20,-17689.66,1
18,sell close,2021-11-23 13:29:45,-23.540000000000873,0
