,action,time,wealth,Position
1,buy,2021-10-22 09:40:05,-16857.99,1
2,sell,2021-10-22 11:00:45,-10.600000000002183,0
3,sell,2021-10-22 11:06:05,16850.999999999996,-1
4,buy,2021-10-22 11:20:20,-12.86000000000422,0
5,sell,2021-10-22 11:21:15,16870.039999999997,-1
6,buy,2021-10-22 11:30:05,-30.4800000000032,0
7,buy,2021-10-22 11:30:10,-16929.58,1
8,sell,2021-10-22 11:40:10,-48.07000000000335,0
9,buy,2021-10-22 11:46:50,-16920.100000000002,1
10,sell,2021-10-22 11:48:45,-40.06000000000131,0
11,buy,2021-10-22 11:50:05,-16922.13,1
12,sell,2021-10-22 12:10:05,-50.909999999999854,0
13,sell,2021-10-22 12:10:10,16821.79,-1
14,buy,2021-10-22 12:50:05,-74.13999999999942,0
15,buy,2021-10-22 12:50:10,-16968.21,1
16,sell,2021-10-22 13:00:40,-73.70999999999913,0
17,sell,2021-10-22 13:01:55,16831.920000000002,-1
18,buy,2021-10-22 13:05:25,-58.13999999999942,0
19,buy,2021-10-22 13:10:10,-16945.489999999998,1
20,sell,2021-10-22 13:13:25,-54.7699999999968,0
