,action,time,wealth,Position
1,buy,2021-12-30 09:41:10,-18273.15,1
2,sell,2021-12-30 10:01:00,-2.460000000002765,0
3,sell,2021-12-30 10:01:05,18267.539999999997,-1
4,buy,2021-12-30 10:18:10,19.82999999999811,0
5,buy,2021-12-30 10:19:10,-18224.350000000002,1
6,sell,2021-12-30 10:30:05,24.089999999996508,0
7,sell,2021-12-30 10:30:10,18271.039999999997,-1
8,buy,2021-12-30 10:40:05,25.399999999997817,0
9,buy,2021-12-30 10:40:10,-18221.11,1
10,sell,2021-12-30 11:30:40,14.880000000001019,0
11,sell,2021-12-30 11:31:40,18241.190000000002,-1
12,buy,2021-12-30 11:40:45,23.070000000003347,0
13,buy,2021-12-30 11:41:55,-18201.479999999996,1
14,sell,2021-12-30 11:43:35,34.06000000000495,0
15,sell,2021-12-30 11:44:05,18270.000000000004,-1
16,buy,2021-12-30 12:54:25,46.37000000000262,0
17,buy,2021-12-30 12:54:30,-18188.999999999996,1
18,sell,2021-12-30 13:09:05,56.10000000000218,0
19,sell,2021-12-30 13:10:05,18295.65,-1
20,buy,2021-12-30 13:21:50,71.9800000000032,0
