,action,time,wealth,Position
1,sell,2021-12-08 09:40:05,17951.6,-1
2,buy,2021-12-08 10:10:05,48.36999999999898,0
3,buy,2021-12-08 10:10:10,-17853.59,1
4,sell,2021-12-08 10:54:20,58.45000000000073,0
5,sell,2021-12-08 10:54:45,17980.260000000002,-1
6,buy,2021-12-08 11:06:10,69.59000000000378,0
7,buy,2021-12-08 11:06:15,-17839.349999999995,1
8,sell,2021-12-08 12:20:05,34.9700000000048,0
9,sell,2021-12-08 12:20:10,17911.190000000006,-1
10,buy,2021-12-08 12:43:55,31.680000000007567,0
11,buy,2021-12-08 12:44:00,-17848.179999999993,1
12,sell,2021-12-08 13:00:05,23.91000000000713,0
13,sell,2021-12-08 13:00:20,17895.72000000001,-1
14,buy,2021-12-08 13:10:05,14.380000000008295,0
15,buy,2021-12-08 13:10:10,-17871.699999999993,1
16,sell close,2021-12-08 13:29:45,-39.2799999999952,0
