,action,time,wealth,Position
1,sell,2021-12-01 09:40:05,17429.57,-1
2,buy,2021-12-01 10:10:15,-25.290000000000873,0
3,buy,2021-12-01 10:15:20,-17474.82,1
4,sell,2021-12-01 10:18:20,-9.180000000000291,0
5,buy,2021-12-01 10:20:05,-17464.93,1
6,sell,2021-12-01 10:26:20,-0.13999999999941792,0
7,sell,2021-12-01 10:27:55,17475.36,-1
8,buy,2021-12-01 10:40:05,-14.090000000000146,0
9,buy,2021-12-01 10:40:15,-17490.66,1
10,sell,2021-12-01 10:56:05,8.340000000000146,0
11,sell,2021-12-01 10:56:55,17520.05,-1
12,buy,2021-12-01 11:10:05,17.43999999999869,0
13,buy,2021-12-01 11:10:10,-17484.780000000002,1
14,sell,2021-12-01 11:20:10,7.969999999997526,0
15,sell,2021-12-01 11:21:30,17499.899999999998,-1
16,buy,2021-12-01 11:30:05,8.389999999999418,0
17,buy,2021-12-01 11:30:10,-17482.97,1
18,sell,2021-12-01 11:56:40,22.409999999999854,0
19,buy,2021-12-01 11:57:05,-17469.13,1
20,sell,2021-12-01 12:00:10,41.469999999997526,0
