,action,time,wealth,Position
1,buy,2021-11-24 09:40:05,-17692.64,1
2,sell,2021-11-24 10:00:05,1.7299999999995634,0
3,buy,2021-11-24 10:01:05,-17674.63,1
4,sell,2021-11-24 12:00:05,-48.409999999999854,0
5,sell,2021-11-24 12:00:30,17584.56,-1
6,buy,2021-11-24 12:01:50,-40.57999999999811,0
7,buy,2021-11-24 12:04:20,-17650.26,1
8,sell,2021-11-24 12:10:05,-41.93999999999869,0
9,sell,2021-11-24 12:10:30,17574.84,-1
10,buy,2021-11-24 12:20:05,-42.2599999999984,0
11,buy,2021-11-24 12:20:10,-17659.94,1
12,sell,2021-11-24 12:39:35,-48.789999999997235,0
13,sell,2021-11-24 12:41:15,17571.030000000002,-1
14,buy,2021-11-24 12:50:05,-48.11999999999898,0
15,buy,2021-11-24 12:50:10,-17670.11,1
16,sell,2021-11-24 13:00:05,-55.70000000000073,0
17,sell,2021-11-24 13:00:30,17567.61,-1
18,buy,2021-11-24 13:15:40,-80.48999999999796,0
19,buy,2021-11-24 13:15:55,-17724.6,1
20,sell close,2021-11-24 13:29:45,-82.07999999999811,0
