,action,time,wealth,Position
1,sell,2021-11-30 09:40:05,17516.45,-1
2,buy,2021-11-30 10:10:05,26.290000000000873,0
3,buy,2021-11-30 10:10:10,-17464.93,1
4,sell,2021-11-30 11:00:05,19.43999999999869,0
5,sell,2021-11-30 11:00:10,17505.739999999998,-1
6,buy,2021-11-30 11:10:30,29.489999999997963,0
7,sell,2021-11-30 11:13:45,17510.92,-1
8,buy,2021-11-30 11:14:00,27.659999999999854,0
9,buy,2021-11-30 11:16:35,-17443.59,1
10,sell,2021-11-30 11:17:15,43.61000000000058,0
11,sell,2021-11-30 11:21:35,17517.65,-1
12,buy,2021-11-30 11:23:00,44.63000000000102,0
13,sell,2021-11-30 11:26:15,17529.36,-1
14,buy,2021-11-30 11:27:00,46.2400000000016,0
15,buy,2021-11-30 11:32:25,-17432.699999999997,1
16,sell,2021-11-30 11:35:30,54.62000000000262,0
17,sell,2021-11-30 11:39:25,17548.140000000003,-1
18,buy,2021-11-30 12:00:05,69.37000000000262,0
19,buy,2021-11-30 12:00:10,-17409.42,1
20,sell,2021-11-30 12:10:15,53.56000000000131,0
