,action,time,wealth,Position
1,sell,2021-11-15 09:40:05,17651.99,-1
2,buy,2021-11-15 10:00:15,5.520000000000437,0
3,buy,2021-11-15 10:00:45,-17645.96,1
4,sell,2021-11-15 11:10:05,-2.790000000000873,0
5,sell,2021-11-15 11:10:10,17643.239999999998,-1
6,buy,2021-11-15 11:50:05,10.089999999996508,0
7,buy,2021-11-15 11:50:10,-17621.430000000004,1
8,sell,2021-11-15 12:00:05,23.369999999995343,0
9,sell,2021-11-15 12:00:10,17667.429999999997,-1
10,buy,2021-11-15 12:15:55,40.90999999999622,0
11,sell,2021-11-15 12:19:20,17681.259999999995,-1
12,buy,2021-11-15 12:20:05,54.81999999999607,0
13,buy,2021-11-15 12:20:10,-17571.360000000004,1
14,sell,2021-11-15 12:47:50,67.65999999999622,0
15,sell,2021-11-15 12:47:55,17707.289999999997,-1
16,buy,2021-11-15 12:50:05,79.2599999999984,0
17,buy,2021-11-15 12:50:10,-17551.24,1
18,sell,2021-11-15 13:00:05,81.54999999999927,0
19,sell,2021-11-15 13:00:10,17706.59,-1
20,buy close,2021-11-15 13:29:45,72.11999999999898,0
