,action,time,wealth,Position
1,buy,2021-12-15 09:40:05,-17592.46,1
2,sell,2021-12-15 09:45:05,33.580000000001746,0
3,sell,2021-12-15 09:46:15,17661.850000000002,-1
4,buy,2021-12-15 10:10:05,24.950000000000728,0
5,buy,2021-12-15 10:10:10,-17613.79,1
6,sell,2021-12-15 11:00:05,29.87999999999738,0
7,sell,2021-12-15 11:00:10,17674.899999999998,-1
8,buy,2021-12-15 11:12:45,25.279999999998836,0
9,buy,2021-12-15 11:15:15,-17615.81,1
10,sell,2021-12-15 11:32:40,40.43999999999869,0
11,sell,2021-12-15 11:32:45,17699.07,-1
12,buy,2021-12-15 11:59:35,32.54999999999927,0
13,buy,2021-12-15 12:01:00,-17620.02,1
14,sell,2021-12-15 12:17:55,48.88999999999942,0
15,sell,2021-12-15 12:18:00,17719.7,-1
16,buy,2021-12-15 12:27:15,53.26000000000204,0
17,buy,2021-12-15 12:28:05,-17610.62,1
18,sell,2021-12-15 13:17:35,16.280000000002474,0
19,sell,2021-12-15 13:19:05,17651.890000000003,-1
20,buy close,2021-12-15 13:29:45,-8.209999999995489,0
