,action,time,wealth,Position
1,sell,2021-12-28 09:40:05,18157.05,-1
2,buy,2021-12-28 10:38:10,11.25,0
3,buy,2021-12-28 10:38:15,-18135.15,1
4,sell,2021-12-28 10:40:05,21.849999999998545,0
5,sell,2021-12-28 10:40:10,18177.109999999997,-1
6,buy,2021-12-28 10:54:35,33.82999999999811,0
7,buy,2021-12-28 10:57:05,-18118.120000000003,1
8,sell,2021-12-28 11:15:10,40.99999999999636,0
9,sell,2021-12-28 11:15:15,18198.309999999998,-1
10,buy,2021-12-28 11:17:15,62.64999999999782,0
11,buy,2021-12-28 11:17:20,-18074.010000000002,1
12,sell,2021-12-28 11:30:05,77.40999999999622,0
13,sell,2021-12-28 11:30:10,18226.319999999996,-1
14,buy,2021-12-28 11:41:35,70.63999999999578,0
15,buy,2021-12-28 11:41:55,-18093.740000000005,1
16,sell,2021-12-28 11:54:40,71.19999999999345,0
17,sell,2021-12-28 11:54:50,18243.379999999994,-1
18,buy,2021-12-28 12:00:15,76.549999999992,0
19,buy,2021-12-28 12:00:20,-18099.65000000001,1
20,sell,2021-12-28 12:16:15,81.97999999999229,0
